"id_messpunkt";"int4";"date_part";"date_part"
46357;0;2;12
36377;0;2;12
36377;0;2;12
46357;2;2;13
46357;2;2;13
34143;2;2;13
34143;2;2;13
34143;1;2;13
34143;1;2;13
46357;0;2;13
46357;0;2;13
46357;5;2;13
46357;6;2;13
34143;2;2;13
34143;2;2;13
34143;1;2;13
34143;1;2;13
46357;3;2;13
46357;3;2;13
36377;0;2;13
36377;0;2;13
36377;0;2;13
36377;0;2;13
46357;2;2;13
46357;2;2;13
34143;3;2;13
34143;3;2;13
34143;1;2;13
34143;1;2;13
46357;2;2;13
46357;2;2;13
46357;2;2;13
46357;2;2;13
34143;3;2;13
34143;3;2;13
36377;0;2;13
36377;0;2;13
34143;2;2;13
34143;2;2;13
46357;1;2;13
46357;1;2;13
36377;0;2;13
36377;0;2;13
46357;5;2;14
46357;6;2;14
34143;3;2;14
34143;3;2;14
34143;2;2;14
34143;1;2;14
46357;0;2;14
46357;0;2;14
46357;4;2;14
46357;3;2;14
34143;1;2;14
34143;1;2;14
46357;3;2;14
46357;3;2;14
36377;2;2;14
36377;2;2;14
36377;3;2;14
36377;3;2;14
46357;1;2;14
46357;1;2;14
34143;3;2;14
34143;3;2;14
46357;1;2;14
46357;1;2;14
46357;5;2;14
46357;5;2;14
36377;3;2;14
36377;3;2;14
34143;1;2;14
34143;1;2;14
46357;2;2;14
46357;2;2;14
36377;1;2;14
36377;1;2;14
46357;8;2;15
46357;8;2;15
34143;5;2;15
34143;4;2;15
46357;1;2;15
46357;1;2;15
46357;4;2;15
46357;4;2;15
34143;1;2;15
34143;2;2;15
46357;1;2;15
46357;1;2;15
36377;3;2;15
36377;3;2;15
36377;3;2;15
36377;3;2;15
46357;4;2;15
46357;4;2;15
34143;2;2;15
34143;2;2;15
46357;1;2;15
46357;1;2;15
46357;6;2;15
46357;6;2;15
34143;2;2;15
34143;2;2;15
36377;2;2;15
36377;2;2;15
34143;1;2;15
34143;2;2;15
46357;1;2;15
46357;1;2;15
36377;1;2;15
36377;2;2;15
46357;6;2;16
46357;6;2;16
34143;2;2;16
34143;2;2;16
34143;1;2;16
34143;1;2;16
46357;1;2;16
46357;1;2;16
46357;4;2;16
46357;4;2;16
34143;0;2;16
34143;0;2;16
34143;1;2;16
34143;0;2;16
46357;1;2;16
46357;1;2;16
36377;1;2;16
36377;2;2;16
36377;2;2;16
36377;2;2;16
46357;6;2;16
46357;6;2;16
34143;3;2;16
34143;3;2;16
34143;1;2;16
34143;1;2;16
46357;0;2;16
46357;0;2;16
46357;6;2;16
46357;5;2;16
34143;2;2;16
34143;2;2;16
36377;1;2;16
36377;1;2;16
34143;2;2;16
34143;2;2;16
46357;3;2;16
46357;3;2;16
36377;1;2;16
36377;1;2;16
46357;6;2;17
46357;6;2;17
34143;2;2;17
34143;2;2;17
34143;1;2;17
34143;1;2;17
46357;0;2;17
46357;1;2;17
46357;5;2;17
46357;5;2;17
34143;2;2;17
34143;2;2;17
34143;1;2;17
34143;0;2;17
46357;2;2;17
46357;2;2;17
36377;3;2;17
36377;2;2;17
36377;3;2;17
36377;3;2;17
46357;9;2;17
46357;9;2;17
34143;0;2;17
34143;0;2;17
34143;1;2;17
34143;1;2;17
46357;2;2;17
46357;2;2;17
46357;5;2;17
46357;4;2;17
34143;1;2;17
34143;1;2;17
36377;2;2;17
36377;3;2;17
34143;2;2;17
34143;2;2;17
46357;3;2;17
46357;3;2;17
36377;3;2;17
36377;3;2;17
46357;4;2;18
46357;4;2;18
34143;2;2;18
34143;2;2;18
34143;0;2;18
34143;1;2;18
46357;1;2;18
46357;1;2;18
46357;5;2;18
46357;5;2;18
34143;2;2;18
34143;2;2;18
34143;2;2;18
34143;1;2;18
46357;0;2;18
46357;1;2;18
36377;2;2;18
36377;3;2;18
36377;3;2;18
36377;3;2;18
46357;6;2;18
46357;7;2;18
34143;1;2;18
34143;1;2;18
34143;1;2;18
34143;1;2;18
46357;0;2;18
46357;0;2;18
46357;3;2;18
46357;3;2;18
34143;1;2;18
34143;1;2;18
36377;4;2;18
36377;4;2;18
34143;4;2;18
34143;3;2;18
46357;0;2;18
46357;0;2;18
36377;2;2;18
36377;3;2;18
46357;3;2;19
46357;3;2;19
34143;4;2;19
34143;4;2;19
34143;3;2;19
34143;2;2;19
46357;0;2;19
46357;0;2;19
46357;4;2;19
46357;4;2;19
34143;2;2;19
34143;2;2;19
34143;2;2;19
34143;2;2;19
46357;1;2;19
46357;1;2;19
36377;2;2;19
36377;2;2;19
36377;1;2;19
36377;1;2;19
46357;2;2;19
46357;1;2;19
34143;2;2;19
34143;2;2;19
34143;2;2;19
34143;2;2;19
46357;0;2;19
46357;0;2;19
46357;2;2;19
46357;2;2;19
36377;3;2;19
36377;3;2;19
34143;4;2;19
34143;4;2;19
46357;1;2;19
46357;1;2;19
36377;2;2;19
36377;2;2;19
46357;2;2;20
46357;2;2;20
34143;3;2;20
34143;3;2;20
46357;2;2;20
46357;2;2;20
34143;0;2;20
34143;0;2;20
46357;2;2;20
46357;2;2;20
36377;3;2;20
36377;4;2;20
36377;4;2;20
36377;4;2;20
46357;3;2;20
46357;3;2;20
34143;1;2;20
34143;1;2;20
46357;1;2;20
46357;1;2;20
34143;1;2;20
34143;1;2;20
36377;1;2;21
36377;1;2;21
46357;3;2;21
46357;3;2;21
34143;2;2;21
34143;2;2;21
46357;2;2;21
46357;2;2;21
34143;1;2;21
34143;1;2;21
36377;2;2;21
36377;2;2;21
46357;1;2;21
46357;0;2;21
46357;2;2;21
46357;2;2;21
34143;1;2;21
34143;1;2;21
46357;1;2;21
46357;1;2;21
34143;2;2;21
34143;2;2;21
36377;2;2;22
36377;2;2;22
46357;2;2;22
46357;2;2;22
34143;2;2;22
34143;2;2;22
34143;1;2;22
34143;1;2;22
36377;1;2;22
36377;1;2;22
46357;1;2;22
46357;1;2;22
46357;3;2;22
46357;3;2;22
34143;2;2;22
34143;2;2;22
46357;1;2;22
46357;1;2;22
34143;1;2;22
34143;1;2;22
36377;2;2;23
36377;2;2;23
46357;3;2;23
46357;3;2;23
34143;1;2;23
34143;1;2;23
34143;0;2;23
34143;0;2;23
36377;3;2;23
36377;3;2;23
46357;4;2;23
46357;4;2;23
46357;3;2;23
46357;2;2;23
34143;1;2;23
34143;1;2;23
46357;1;2;23
46357;1;2;23
34143;1;3;0
34143;2;3;0
36377;3;3;0
36377;3;3;0
46357;1;3;0
46357;1;3;0
36377;2;3;0
36377;2;3;0
46357;2;3;0
46357;2;3;0
46357;1;3;4
46357;1;3;4
46357;3;3;5
46357;3;3;5
36377;2;3;5
36377;2;3;5
36377;3;3;5
