Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
6931;S1ABY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;7:13:00;3;
79462;MER2-;06.03.2016;62;Reisezugwagen;MKI;Kiefersfelden;7:14:00;14;79462
6825;S8BY+;06.03.2016;84;Behörden;MLEU;München Leuchtenbergring;7:16:00;3;6225
6425;S4BY+;06.03.2016;84;Behörden;MLEU;München Leuchtenbergring;7:17:00;2;6825
57101;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MGHN;Gessertshausen;7:18:00;3;419
6525;S6BY+;06.03.2016;84;Behörden;MRP;München Rosenheimer Platz;7:18:00;2;6225
6725;S7BY+;06.03.2016;84;Behörden;MOP;München Ost Pbf;7:18:00;2;6325
57391;RE33+;06.03.2016;57;Keine Meldung durch EVU;TU;Ulm Hbf;7:19:00;2;57391
84533;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;7:20:00;2;84533
4221;IRE6+;06.03.2016;59;Sonstige verkehrliche Gründe EVU;TP;Plochingen;7:23:00;8;4221
6131;S1BY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);7:23:00;2;6931
59086;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MTL;Treuchtlingen;7:24:00;2;1128
27146;;06.03.2016;31;Bauarbeiten;MMF;Mühldorf (Oberbay);7:26:00;2;
86906;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MHO;Holzkirchen;7:28:00;2;86856
86860;;06.03.2016;61;Zugbildung durch EVU;MBZ;Bayrischzell;7:34:00;2;86860
27145;;06.03.2016;57;Keine Meldung durch EVU;MTLG;Tüßling;7:37:00;2;27145
57760;RB33M+;06.03.2016;19;Sonstiges Betrieb Netz;MASI;Altenstadt (Iller);7:37:00;0;
57809;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MKFG;Kaufering;7:37:00;3;3480
6230;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MONH;Ottenhofen (Oberbay);7:37:00;6;6225
79007;MER1+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRO;Rosenheim;7:38:00;4;79462
84185;AG1+;06.03.2016;50;Haltezeitüberschreitung;NBE;Beratzhausen;7:38:00;2;84185
4681;;06.03.2016;51;Antrag EVU;NBA;Bamberg;7:39:00;3;4681
79457;MER2+;06.03.2016;93;Wende;MRO;Rosenheim;7:39:00;2;79007
27105;;06.03.2016;50;Haltezeitüberschreitung;MMF;Mühldorf (Oberbay);7:40:00;3;27105
58824;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NN;Nürnberg Hbf;7:40:00;2;
57069;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOL;Olching;7:42:00;4;
84534;;06.03.2016;57;Keine Meldung durch EVU;NBI;Bindlach;7:42:00;2;84534
57760;RB33M+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MASI;Altenstadt (Iller);7:43:00;6;
3424;RB44-;06.03.2016;57;Keine Meldung durch EVU;NNP;Neuhaus (Pegnitz);7:49:00;2;3424
63051;;06.03.2016;57;Keine Meldung durch EVU;MTLG;Tüßling;7:49:00;2;63051
6830;S8BY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;7:50:00;6;
27556;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MPR;Prien a Chiemsee;7:51:00;3;
3750;RE41-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NHM;Hochstadt-Marktzeuln;7:51:00;2;4981
5281;;06.03.2016;57;Keine Meldung durch EVU;NNSG;Neusorg;7:56:00;2;5281
3750;RE41-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NLF;Lichtenfels;7:57:00;3;4981
27310;;06.03.2016;50;Haltezeitüberschreitung;MPKG;Pocking;7:58:00;2;27310
27555;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MPR;Prien a Chiemsee;7:59:00;5;
22331;RE3S-;06.03.2016;50;Haltezeitüberschreitung;TRC;Rechtenstein;8:00:00;2;22331
6832;S8BY-;06.03.2016;93;Wende;MFHT;München Flughafen Terminal;8:07:00;3;6924
3857;;06.03.2016;50;Haltezeitüberschreitung;NLF;Lichtenfels;8:08:00;2;3857
84133;ALXS-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MP  W;München-Pasing West;8:09:00;2;
58012;;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;NVE;Veitshöchheim;8:10:00;2;
3480;SF3BY+;06.03.2016;60;Umlauf-Einsatzplanung;MGNZ;Günzach;8:11:00;2;3480
4204;;06.03.2016;59;Sonstige verkehrliche Gründe EVU;MENW;Enzisweiler;8:12:00;2;4204
29352;;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;8:13:00;3;29352
3220;IRE3+;06.03.2016;54;Verkehrliche Zugvorbereitung;TU;Ulm Hbf;8:14:00;3;3220
